depth,RPM,Flow,WOB,ROP,well
128.78,76.74,3.38525,4.87528,17.03,A
129.09,81.99,3.38601,2.14059,20.05,A
129.41,81.93,3.38064,0.99773,44.73,A
129.72,80.86,3.38525,2.85714,43.04,A
130.03,82.51,3.3845,1.95011,41.45,A
130.34,83.79,3.37443,2.38095,21.52,A
130.66,80.43,3.37288,2.33107,41.45,A
130.97,86.05,3.38139,2.4263,20.73,A
131.28,84.92,3.39847,1.75964,13.65,A
131.59,79.36,3.37522,5.25624,12.80415812,A
131.9,83.45,3.38529,4.23583,12.80415812,A
132.22,80.25,3.37598,7.65986,43.02,A
132.53,84.98,3.38529,4.0907,37.31,A
132.84,84.89,3.3915,6.37642,12.80415812,A
133.15,84.4,3.39926,6.49433,32.92,A
133.47,85.44,3.40312,4.92517,34.97,A
133.78,93.64,3.38684,1.21542,12.80415812,A
134.09,90.99,3.37753,4.90249,12.80415812,A
134.41,88.18,3.37367,4.30839,12.80415812,A
134.72,83.57,3.35353,3.97279,38.57,A
135.04,86.23,3.3605,6.16327,12.80415812,A
135.35,86.02,3.34112,3.04308,12.80415812,A
135.68,73.2,3.38677,3.2381,36.01,A
135.99,76.25,3.39218,2.00454,12.80415812,A
136.31,77.96,3.38211,1.10658,32.17,A
136.63,74.88,3.37515,2.99773,46.34,A
136.94,65.21,3.38597,1.08844,12.80415812,A
137.25,71.65,3.39063,1.96372,30.74,A
137.57,67.22,3.3798,1.88209,12.80415812,A
137.88,69.23,3.38366,3.12018,12.80415812,A
138.21,65.76,3.38215,4.35374,12.80415812,A
138.53,69.94,3.37204,2.75737,28.44,A
138.84,69.72,3.36353,2.49887,42.94,A
139.17,68.14,3.39142,5.52834,45.37,A
139.49,66.89,3.38756,2.79819,42.91,A
139.81,65.09,3.38908,7.40136,12.80415812,A
140.13,67.59,3.38211,4.21315,39.93,A
140.47,70.42,3.37439,3.73696,12.80415812,A
140.78,65.63,3.38753,7.97732,12.80415812,A
141.1,64.32,3.37129,5.24717,12.80415812,A
141.41,68.62,3.3697,4.61224,42.13,A
141.73,69.36,3.3728,2.12245,29.16,A
142.05,79.73,3.3767,5.12925,15.37,A
142.36,78.33,3.38601,6.02721,19.95,A
142.67,84.34,3.36898,5.90476,16.18,A
142.99,84.15,3.37363,4.77098,14.04,A
143.3,81.35,3.36977,5.17007,38.5,A
143.62,81.56,3.37594,7.51927,21.45,A
143.93,87.11,3.36898,4.73016,17.17,A
144.24,54.94729175,3.32219,2.08163,12.26,A
144.55,82.99,3.32454,4.71202,18.6,A
144.87,103.56,3.34157,4.78912,21.86,A
145.18,91.17,3.34233,5.8458,18.3,A
145.49,109.9,3.3276,0.96599,18,A
145.8,91.9,3.34078,4.03628,29.93,A
146.11,54.19,3.35255,3.03855,25.35,A
